,value,id,type
0,0.99182595,55154,old
1,0.964515827,55604,old
2,0.984673174,55609,old
3,0.987819831,55619,old
4,0.988678242,55711,old
5,0.99172009,55717,old
6,0.987668117,55721,old
7,0.989061045,55733,old
8,0.98280648,55901,old
9,0.989587545,55921,old
10,0.970904766,57086,old
11,0.933009062,Alt Aluminas,old
12,0.996659997,F mineralized,old
13,0.992564369,FMA,old
14,0.96931082,FMF,old
15,0.994507502,Mixes FMA,old
16,0.994992554,nan,old
17,0.984770058,RH,old
18,0.991928589,55154,new
19,0.96883753,55604,new
20,0.984758954,55609,new
21,0.987808585,55619,new
22,0.990627368,55711,new
23,0.991765377,55717,new
24,0.987530879,55721,new
25,0.989088647,55733,new
26,0.982896165,55901,new
27,0.989355485,55921,new
28,0.970960833,57086,new
29,0.932087755,Alt Aluminas,new
30,0.996448555,F mineralized,new
31,0.994397638,FMA,new
32,0.969037408,FMF,new
33,0.994542645,Mixes FMA,new
34,0.994714799,nan,new
35,0.985297583,RH,new
