,value,id,type
0,0.980530914,55154,old
1,0.948088593,55604,old
2,0.958822798,55609,old
3,0.940130064,55619,old
4,0.988707282,55711,old
5,0.967426986,55717,old
6,0.977158442,55721,old
7,0.987046528,55733,old
8,0.973903759,55901,old
9,0.978069114,55921,old
10,0.989999853,57086,old
11,0.964201032,Alt Aluminas,old
12,0.989186922,F mineralized,old
13,0.992105653,FMA,old
14,0.96286309,FMF,old
15,0.993362929,Mixes FMA,old
16,0.989255133,nan,old
17,0.962966852,RH,old
18,0.979156502,55154,new
19,0.948273852,55604,new
20,0.95962359,55609,new
21,0.939671863,55619,new
22,0.985307718,55711,new
23,0.967396332,55717,new
24,0.976888724,55721,new
25,0.9870677,55733,new
26,0.97310216,55901,new
27,0.977879445,55921,new
28,0.989994927,57086,new
29,0.964714711,Alt Aluminas,new
30,0.989612197,F mineralized,new
31,0.990277668,FMA,new
32,0.961139603,FMF,new
33,0.992962234,Mixes FMA,new
34,0.989262168,nan,new
35,0.963225594,RH,new
